"","INDEX","X2000","X2087","change","EEZID"
"894",108159,19,8,-11,945
"895",108160,19,8,-11,945
"896",108161,20,8,-12,945
"897",108162,20,8,-12,945
"898",108163,20,8,-12,945
"899",108164,20,8,-12,945
"900",108165,20,8,-12,945
"901",108166,19,8,-11,945
"902",108167,19,8,-11,945
"903",108168,19,8,-11,945
"904",108169,19,9,-10,945
"905",108170,19,9,-10,945
"906",108171,19,10,-9,945
"907",108172,57,40,-17,945
"908",108173,62,43,-19,945
"909",108174,82,67,-15,945
"910",108175,88,75,-13,945
"911",108176,82,70,-12,945
"912",108875,17,7,-10,945
"913",108876,17,7,-10,945
"914",108877,18,7,-11,945
"915",108878,18,7,-11,945
"916",108879,19,7,-12,945
"917",108880,19,8,-11,945
"918",108881,20,8,-12,945
"919",108882,20,7,-13,945
"920",108883,20,7,-13,945
"921",108884,20,7,-13,945
"922",108885,19,7,-12,945
"923",108886,19,7,-12,945
"924",108887,19,7,-12,945
"925",108888,19,7,-12,945
"926",108889,19,8,-11,945
"927",108890,18,8,-10,945
"928",108891,18,9,-9,945
"929",108892,18,9,-9,945
"930",108893,19,9,-10,945
"931",108894,33,22,-11,945
"932",108895,80,61,-19,945
"933",108896,91,74,-17,945
"934",109597,17,7,-10,945
"935",109598,19,7,-12,945
"936",109599,19,7,-12,945
"937",109600,19,7,-12,945
