"","INDEX","X2000","X2087","change","EEZID"
"556",100948,23,19,-4,945
"557",100949,71,66,-5,945
"558",100950,68,64,-4,945
"559",101644,13,17,4,945
"560",101645,13,19,6,945
"561",101646,14,19,5,945
"562",101647,14,20,6,945
"563",101648,17,20,3,945
"564",101649,17,20,3,945
"565",101650,17,20,3,945
"566",101651,19,20,1,945
"567",101652,19,20,1,945
"568",101653,20,21,1,945
"569",101654,20,21,1,945
"570",101655,19,22,3,945
"571",101656,19,22,3,945
"572",101657,20,21,1,945
"573",101658,21,21,0,945
"574",101659,19,19,0,945
"575",101660,21,21,0,945
"576",101661,22,21,-1,945
"577",101662,22,21,-1,945
"578",101663,22,21,-1,945
"579",101664,21,21,0,945
"580",101665,21,19,-2,945
"581",101666,22,20,-2,945
"582",101667,22,20,-2,945
"583",101668,22,20,-2,945
"584",101669,24,23,-1,945
"585",101670,88,85,-3,945
"586",101671,90,87,-3,945
"587",101672,85,83,-2,945
"588",102364,13,17,4,945
"589",102365,13,19,6,945
"590",102366,13,19,6,945
"591",102367,14,20,6,945
"592",102368,16,20,4,945
"593",102369,16,20,4,945
"594",102370,17,20,3,945
"595",102371,17,20,3,945
"596",102372,17,20,3,945
"597",102373,19,20,1,945
"598",102374,19,22,3,945
"599",102375,17,22,5,945
"600",102376,17,22,5,945
"601",102377,17,21,4,945
"602",102378,29,28,-1,945
"603",102379,29,26,-3,945
"604",102380,20,21,1,945
"605",102381,20,21,1,945
"606",102382,20,21,1,945
"607",102383,19,21,2,945
"608",102384,21,21,0,945
"609",102385,21,20,-1,945
"610",102386,21,20,-1,945
"611",102387,22,20,-2,945
"612",102388,22,20,-2,945
"613",102389,21,21,0,945
"614",102390,23,22,-1,945
"615",102391,28,27,-1,945
"616",102392,93,89,-4,945
"617",102393,91,85,-6,945
"618",103084,13,20,7,945
"619",103085,13,20,7,945
"620",103086,13,20,7,945
"621",103087,14,20,6,945
"622",103088,14,20,6,945
"623",103089,16,20,4,945
"624",103090,16,20,4,945
"625",103091,15,19,4,945
"626",103092,16,20,4,945
"627",103093,17,20,3,945
"628",103094,16,21,5,945
"629",103095,16,20,4,945
"630",103096,17,21,4,945
"631",103097,17,21,4,945
"632",103098,17,21,4,945
"633",103099,16,21,5,945
"634",103100,15,21,6,945
"635",103101,15,21,6,945
"636",103102,16,21,5,945
"637",103103,18,21,3,945
"638",103104,18,21,3,945
"639",103105,21,21,0,945
"640",103106,21,21,0,945
"641",103107,21,21,0,945
"642",103108,22,21,-1,945
"643",103109,21,21,0,945
"644",103110,21,21,0,945
"645",103111,21,21,0,945
"646",103112,25,24,-1,945
"647",103113,90,86,-4,945
"648",103114,86,82,-4,945
"649",103115,86,80,-6,945
"650",103116,68,61,-7,945
"651",103804,13,20,7,945
"652",103805,14,20,6,945
"653",103806,14,20,6,945
"654",103807,14,20,6,945
"655",103808,14,20,6,945
"656",103809,15,20,5,945
"657",103810,15,20,5,945
"658",103811,15,20,5,945
"659",103812,15,20,5,945
"660",103813,15,19,4,945
"661",103814,16,20,4,945
"662",103815,16,20,4,945
"663",103816,16,20,4,945
"664",103817,16,21,5,945
"665",103818,16,21,5,945
"666",103819,16,21,5,945
"667",103820,15,21,6,945
"668",103821,14,21,7,945
"669",103822,14,21,7,945
"670",103823,16,21,5,945
"671",103824,17,21,4,945
"672",103825,19,21,2,945
"673",103826,21,21,0,945
"674",103827,21,21,0,945
"675",103828,22,21,-1,945
"676",103829,22,20,-2,945
"677",103830,22,20,-2,945
"678",103831,22,21,-1,945
"679",103832,22,21,-1,945
"680",103833,23,21,-2,945
"681",103834,26,24,-2,945
"682",103835,65,55,-10,945
"683",103836,91,86,-5,945
"684",103837,87,85,-2,945
"685",103838,84,78,-6,945
"686",104524,14,20,6,945
"687",104525,14,20,6,945
"688",104526,14,20,6,945
"689",104527,14,20,6,945
"690",104528,14,20,6,945
"691",104529,15,20,5,945
"692",104530,15,20,5,945
"693",104531,15,20,5,945
"694",104532,15,20,5,945
"695",104533,15,19,4,945
"696",104534,16,19,3,945
"697",104535,16,20,4,945
"698",104536,15,20,5,945
"699",104537,15,20,5,945
"700",104538,15,20,5,945
"701",104539,15,21,6,945
"702",104540,14,21,7,945
"703",104541,14,21,7,945
"704",104542,14,21,7,945
"705",104543,14,21,7,945
"706",104544,15,21,6,945
"707",104545,19,21,2,945
"708",104546,20,21,1,945
"709",104547,21,21,0,945
"710",104548,21,21,0,945
"711",104549,22,20,-2,945
"712",104550,22,20,-2,945
"713",104551,22,21,-1,945
"714",104552,22,21,-1,945
"715",104553,22,21,-1,945
"716",104554,22,21,-1,945
"717",104555,23,21,-2,945
"718",104556,25,22,-3,945
"719",104557,27,25,-2,945
"720",104558,93,88,-5,945
"721",104559,89,87,-2,945
"722",104560,84,82,-2,945
"723",105245,14,20,6,945
"724",105246,14,20,6,945
"725",105247,15,19,4,945
"726",105248,15,19,4,945
"727",105249,15,19,4,945
"728",105250,15,19,4,945
"729",105251,15,19,4,945
"730",105252,15,19,4,945
"731",105253,15,19,4,945
"732",105254,15,19,4,945
"733",105255,15,20,5,945
"734",105256,15,20,5,945
"735",105257,15,20,5,945
"736",105258,15,20,5,945
"737",105259,15,20,5,945
"738",105260,13,20,7,945
"739",105261,13,20,7,945
"740",105262,13,21,8,945
"741",105263,14,21,7,945
"742",105264,14,21,7,945
"743",105265,18,21,3,945
"744",105266,20,21,1,945
"745",105267,21,21,0,945
"746",105268,22,20,-2,945
"747",105269,23,20,-3,945
"748",105270,23,20,-3,945
"749",105271,21,19,-2,945
"750",105272,21,19,-2,945
"751",105273,21,19,-2,945
"752",105274,21,19,-2,945
"753",105275,21,18,-3,945
"754",105276,21,18,-3,945
"755",105277,23,20,-3,945
"756",105278,24,22,-2,945
"757",105279,28,25,-3,945
"758",105280,90,89,-1,945
"759",105281,89,88,-1,945
"760",105282,90,88,-2,945
"761",105283,81,79,-2,945
"762",105965,15,19,4,945
"763",105966,15,19,4,945
"764",105967,15,19,4,945
"765",105968,15,19,4,945
"766",105969,15,19,4,945
"767",105970,15,19,4,945
"768",105971,15,19,4,945
"769",105972,15,19,4,945
"770",105973,15,19,4,945
"771",105974,14,19,5,945
"772",105975,14,20,6,945
"773",105976,14,20,6,945
"774",105977,15,20,5,945
"775",105978,15,20,5,945
"776",105979,14,20,6,945
"777",105980,14,20,6,945
"778",105981,14,20,6,945
"779",105982,14,20,6,945
"780",105983,16,21,5,945
"781",105984,16,21,5,945
"782",105987,21,21,0,945
"783",105988,21,21,0,945
"784",105989,22,20,-2,945
"785",105990,23,19,-4,945
"786",105991,22,18,-4,945
"787",105992,21,18,-3,945
"788",105993,21,18,-3,945
"789",105994,21,18,-3,945
"790",105995,21,12,-9,945
"791",105996,21,11,-10,945
"792",105997,21,18,-3,945
"793",105998,21,19,-2,945
"794",105999,23,21,-2,945
"795",106000,24,22,-2,945
"796",106001,26,24,-2,945
"797",106002,32,29,-3,945
"798",106003,92,89,-3,945
"799",106004,90,87,-3,945
"800",106005,86,82,-4,945
"801",106010,84,83,-1,945
"802",106011,84,82,-2,945
"803",106012,85,82,-3,945
"804",106686,15,19,4,945
"805",106687,15,19,4,945
"806",106688,15,19,4,945
"807",106689,15,19,4,945
"808",106690,15,19,4,945
"809",106691,15,19,4,945
"810",106692,15,19,4,945
"811",106693,14,19,5,945
"812",106694,14,19,5,945
"813",106695,14,20,6,945
"814",106696,15,20,5,945
"815",106697,14,20,6,945
"816",106698,13,20,7,945
"817",106699,13,20,7,945
"818",106700,13,20,7,945
"819",106701,14,20,6,945
"820",106702,14,20,6,945
"821",106703,14,20,6,945
"822",106709,21,20,-1,945
"823",106710,21,19,-2,945
"824",106711,21,17,-4,945
"825",106712,21,18,-3,945
"826",106713,21,18,-3,945
"827",106714,21,15,-6,945
"828",106715,21,11,-10,945
"829",106716,21,11,-10,945
"830",106717,21,18,-3,945
"831",106718,21,19,-2,945
"832",106719,23,21,-2,945
"833",106720,23,21,-2,945
"834",106721,23,21,-2,945
"835",106722,23,21,-2,945
"836",106723,26,25,-1,945
"837",106724,28,27,-1,945
"838",106725,94,90,-4,945
"839",106726,94,89,-5,945
"840",106727,92,87,-5,945
"841",106728,90,87,-3,945
"842",106729,93,90,-3,945
"843",106730,93,91,-2,945
"844",106731,78,74,-4,945
"845",106732,87,85,-2,945
"846",106733,89,86,-3,945
"847",106734,85,82,-3,945
"848",107407,15,19,4,945
"849",107408,15,19,4,945
"850",107409,15,19,4,945
"851",107410,16,19,3,945
"852",107411,16,19,3,945
"853",107412,15,19,4,945
"854",107413,15,19,4,945
"855",107414,15,20,5,945
"856",107415,15,21,6,945
"857",107417,14,21,7,945
"858",107418,14,21,7,945
"859",107419,13,21,8,945
"860",107420,13,21,8,945
"861",107430,22,19,-3,945
"862",107431,20,18,-2,945
"863",107432,20,17,-3,945
"864",107433,21,13,-8,945
"865",107434,21,13,-8,945
"866",107435,21,13,-8,945
"867",107436,21,16,-5,945
"868",107437,21,19,-2,945
"869",107438,21,20,-1,945
"870",107439,23,22,-1,945
"871",107440,23,22,-1,945
"872",107441,23,22,-1,945
"873",107442,23,22,-1,945
"874",107443,22,22,0,945
"875",107444,22,22,0,945
"876",107445,22,22,0,945
"877",107446,22,22,0,945
"878",107447,23,23,0,945
"879",107448,23,23,0,945
"880",107449,24,24,0,945
"881",107450,24,24,0,945
"882",107451,51,48,-3,945
"883",107452,52,48,-4,945
"884",107453,84,81,-3,945
"885",107454,93,91,-2,945
"886",107455,87,86,-1,945
"887",108152,20,15,-5,945
"888",108153,20,13,-7,945
"889",108154,20,13,-7,945
"890",108155,20,13,-7,945
"891",108156,21,13,-8,945
"892",108157,21,19,-2,945
"893",108158,21,20,-1,945
"894",108159,23,22,-1,945
"895",108160,23,22,-1,945
"896",108161,23,22,-1,945
"897",108162,23,22,-1,945
"898",108163,23,22,-1,945
"899",108164,23,22,-1,945
"900",108165,22,22,0,945
"901",108166,22,22,0,945
"902",108167,22,22,0,945
"903",108168,22,22,0,945
"904",108169,22,22,0,945
"905",108170,22,22,0,945
"906",108171,22,22,0,945
"907",108172,59,54,-5,945
"908",108173,62,58,-4,945
"909",108174,86,84,-2,945
"910",108175,94,93,-1,945
"911",108176,87,86,-1,945
"912",108875,19,13,-6,945
"913",108876,19,13,-6,945
"914",108877,19,14,-5,945
"915",108878,20,20,0,945
"916",108879,23,22,-1,945
"917",108880,23,22,-1,945
"918",108881,23,22,-1,945
"919",108882,23,22,-1,945
"920",108883,23,22,-1,945
"921",108884,22,22,0,945
"922",108885,22,22,0,945
"923",108886,22,22,0,945
"924",108887,22,22,0,945
"925",108888,22,22,0,945
"926",108889,22,22,0,945
"927",108890,21,21,0,945
"928",108891,21,21,0,945
"929",108892,22,21,-1,945
"930",108893,23,22,-1,945
"931",108894,35,35,0,945
"932",108895,85,81,-4,945
"933",108896,97,96,-1,945
"934",109597,18,13,-5,945
"935",109598,19,17,-2,945
"936",109599,20,21,1,945
"937",109600,22,22,0,945
"938",109601,23,22,-1,945
"939",109602,23,22,-1,945
"940",109603,22,22,0,945
"941",109604,22,22,0,945
"942",109605,22,22,0,945
"943",109606,22,22,0,945
"944",109607,22,22,0,945
